ID	Area	MinFeret	EQPC
1408	6.56	2.947	2.890060798
1409	0.355	0.421	0.672309481
1410	0.355	0.421	0.672309481
1411	0.177	0.421	0.474724551
1412	0.355	0.595	0.672309481
1413	0.886	0.893	1.062115924
1414	0.355	0.421	0.672309481
1415	0.355	0.421	0.672309481
1416	0.355	0.421	0.672309481
1417	0.532	0.595	0.823020922
1418	0.355	0.421	0.672309481
1419	0.355	0.421	0.672309481
1420	0.177	0.421	0.474724551
1421	0.177	0.421	0.474724551
1422	0.177	0.421	0.474724551
1423	0.355	0.421	0.672309481
1424	0.177	0.421	0.474724551
1425	0.177	0.421	0.474724551
1426	0.177	0.421	0.474724551
1427	0.355	0.421	0.672309481
1428	0.177	0.421	0.474724551
1429	0.177	0.421	0.474724551
1430	0.177	0.421	0.474724551
1431	0.177	0.421	0.474724551
1432	4.609	2.105	2.422470033
1433	2.659	1.786	1.839984769
1434	1.064	0.842	1.16392735
1435	0.177	0.421	0.474724551
1436	0.177	0.421	0.474724551
1437	4.078	2.105	2.278655495
1438	0.177	0.421	0.474724551
1439	3.368	2.071	2.07081404
1440	0.532	0.753	0.823020922
1441	1.773	1.489	1.502482517
1442	0.177	0.421	0.474724551
1443	0.177	0.421	0.474724551
1444	0.177	0.421	0.474724551
1445	0.177	0.421	0.474724551
1446	0.177	0.421	0.474724551
1447	0.177	0.421	0.474724551
1448	0.532	0.753	0.823020922
1449	0.177	0.421	0.474724551
1450	2.127	1.489	1.64565504
1451	0.177	0.421	0.474724551
1452	0.709	0.842	0.950119381
1453	1.95	1.263	1.575695755
1454	0.177	0.421	0.474724551
1455	1.241	1.263	1.257016418
1456	0.709	0.893	0.950119381
1457	0.177	0.421	0.474724551
1458	0.177	0.421	0.474724551
1459	0.177	0.421	0.474724551
1460	212.211	15.048	16.43762261
1461	1.064	1.191	1.16392735
1462	0.177	0.421	0.474724551
1463	0.177	0.421	0.474724551
1464	0.355	0.421	0.672309481
1465	0.355	0.595	0.672309481
1466	0.177	0.421	0.474724551
1467	0.709	0.842	0.950119381
1468	6.914	2.397	2.967015034
1469	0.177	0.421	0.474724551
1470	0.355	0.421	0.672309481
1471	0.532	0.421	0.823020922
1472	0.709	0.421	0.950119381
1473	0.177	0.421	0.474724551
1474	0.177	0.421	0.474724551
1475	1.064	1.191	1.16392735
1476	0.177	0.421	0.474724551
1477	0.177	0.421	0.474724551
1478	10.992	3.759	3.741049195
1479	0.177	0.421	0.474724551
1480	0.355	0.421	0.672309481
1481	0.177	0.421	0.474724551
1482	133.496	13.071	13.03734583
1483	0.177	0.421	0.474724551
1484	0.177	0.421	0.474724551
1485	8.864	3.368	3.359463547
1486	0.355	0.421	0.672309481
1487	8.687	2.977	3.325752836
1488	0.177	0.421	0.474724551
1489	3.368	2.105	2.07081404
1490	0.355	0.421	0.672309481
1491	0.177	0.421	0.474724551
1492	0.177	0.421	0.474724551
1493	0.177	0.421	0.474724551
1494	0.177	0.421	0.474724551
1495	0.177	0.421	0.474724551
1496	62.227	9.117	8.901116624
1497	0.177	0.421	0.474724551
1498	2.837	2.105	1.900573752
1499	0.709	0.893	0.950119381
1500	0.177	0.421	0.474724551
1501	0.355	0.595	0.672309481
1502	0.532	0.421	0.823020922
1503	7.623	2.859	3.115430155
1504	0.177	0.421	0.474724551
1505	0.177	0.421	0.474724551
1506	0.355	0.421	0.672309481
1507	0.177	0.421	0.474724551
1508	1.241	1.263	1.257016418
1509	28.898	5.195	6.065812094
1510	17.197	4.926	4.679305552
1511	0.177	0.421	0.474724551
1512	14.183	4.331	4.249512497
1513	6.914	2.947	2.967015034
1514	7.269	2.947	3.042232445
1515	0.177	0.421	0.474724551
1516	1.95	1.263	1.575695755
1517	0.177	0.421	0.474724551
1518	4.432	2.312	2.375499455
1519	0.532	0.842	0.823020922
1520	0.177	0.421	0.474724551
1521	0.177	0.421	0.474724551
1522	0.177	0.421	0.474724551
1523	0.709	1.13	0.950119381
1524	0.886	1.13	1.062115924
1525	6.382	2.526	2.85058148
1526	0.177	0.421	0.474724551
1527	37.053	6.316	6.868576625
1528	0.177	0.421	0.474724551
1529	0.177	0.421	0.474724551
1530	0.177	0.421	0.474724551
1531	0.355	0.421	0.672309481
1532	2.837	1.569	1.900573752
1533	0.886	1.13	1.062115924
1534	3.191	2.526	2.015665495
1535	0.177	0.421	0.474724551
1536	2.127	1.684	1.64565504
1537	0.532	0.842	0.823020922
